Táxon;Nome comum;Familia;Status global;Status nacional ;Área de ocorrência predominante;Habitat ;Status migratório ;Impacto potencial / Risco presumido
Phoenicopterus chilensis;Flamingo-chileno;Phoenicopteridae;NT;LC;Sul, Interior;Costeiro, Interior;Migrante austral;Colisão / -
Phoenicopterus ruber;Flamingo-americano;Phoenicopteridae;LC;LC;Norte;Costeiro;Residente, Migrante boreal;Colisão / -
Podicephorus major;Mergulhão-grande;Podicipedidae;LC;LC;Sul e Sudeste;Interior, Nerítico;Residente;Colisão, perda de habitat / Moderado
Pluvialis dominica;Batuiruçu;Charadriidae;LC;DD;Sul;Costeiro;Migrante boreal;Colisão / -
Pluvialis squatarola;Batuiruçu-de-axila-preta;Charadriidae;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Oreopholus ruficollis;Batuíra-de-papo-ferrugíneo;Charadriidae;LC;LC;Sul;Costeiro;Migrante austral;Colisão / -
Charadrius modestus;Batuíra-de-peito-tijolo;Charadriidae;LC;LC;Sul;Costeiro;Migrante austral;Colisão / -
Charadrius semipalmatus;Batuíra-de-bando;Charadriidae;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Charadrius wilsonia;Batuíra-bicuda;Charadriidae;LC;VU;Norte e Nordeste;Costeiro;Residente;Colisão / -
Charadrius collaris;Batuíra-de-coleira;Charadriidae;LC;LC;Toda a costa;Costeiro;Residente;Colisão / -
Charadrius falklandicus;Batuíra-de-coleira-dupla;Charadriidae;LC;LC;Sul;Costeiro;Migrante austral, Residente no RS;Colisão / -
Haematopus palliatus;Piru-piru;Haematopodidae;LC;NT;Toda a costa;Costeiro;Residente, Migrante parcial no extremo Norte;Colisão / -
Himantopus mexicanus;Pernilongo-de-costas-negras;Recurvirostridae;LC;LC;Norte e Nordeste;Costeiro;Residente, Migrante parcial no extremo Norte;Colisão / -
Himantopus melanurus;Pernilongo-de-costas-brancas;Recurvirostridae;LC;LC;Toda a costa;Costeiro;Residente;Colisão / -
Bartramia longicauda;Maçarico-do-campo;Scolopacidae;LC;LC;Interior;Interior;Migrante boreal;Colisão / Baixo
Numenius hudsonicus;Maçarico-de-bico-torto;Scolopacidae;LC;NT;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Limosa haemastica;Maçarico-de-bico-virado;Scolopacidae;LC;LC;Sul e Sudeste;Costeiro;Migrante boreal;Colisão / -
Arenaria interpres;Vira-pedras;Scolopacidae;LC;NT;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris canutus;Maçarico-de-papo-vermelho;Scolopacidae;NT;CR;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris himantopus;Maçarico-pernilongo;Scolopacidae;LC;LC;Toda a costa, Interior;Costeiro, Interior;Migrante boreal, Vagante;Colisão / Baixo
Calidris alba;Maçarico-branco;Scolopacidae;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris bairdii;Maçarico-de-bico-fino;Scolopacidae;LC;NA;Norte e Sul;Costeiro, Interior;Migrante boreal;Colisão / -
Calidris minutilla;Maçariquinho;Scolopacidae;LC;DD;Toda a costa, mais comum no Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Calidris fuscicollis;Maçarico-de-sobre-branco;Scolopacidae;LC;LC;Toda a costa, Interior;Costeiro, Interior;Migrante boreal;Colisão / -
Calidris subruficollis;Maçarico-acanelado;Scolopacidae;NT;VU;Sul;Costeiro, Interior;Migrante boreal;Colisão / -
Calidris melanotos;Maçarico-de-colete;Scolopacidae;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris pusilla;Maçarico-rasteirinho;Scolopacidae;NT;EN;Toda a costa, mais comum no Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Limnodromus griseus;Maçarico-de-costas-brancas;Scolopacidae;LC;CR;Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Phalaropus tricolor;pisa-n'água;Scolopacidae;LC;DD;Sul e Sudeste;Costeiro, Interior;Migrante boreal;Colisão / Baixo
Actitis macularius;Maçarico-pintado;Scolopacidae;LC;LC;Toda a costa, mais comum no Sudeste, Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Tringa solitaria;Maçarico-solitário;Scolopacidae;LC;LC;Toda a costa, Interior;Costeiro, Interior;Migrante boreal;Colisão / -
Tringa melanoleuca;Maçarico-grande-de-perna-amarela;Scolopacidae;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Tringa semipalmata;Maçarico-de-asa-branca;Scolopacidae;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Tringa flavipes;Maçarico-de-perna-amarela;Scolopacidae;LC;LC;Toda a costa, mais comum no interior;Costeiro, Interior;Migrante boreal;Colisão / -
Stercorarius skua;Mandrião-grande;Stercorariidae;LC;LC;Toda a costa, mais comum no Norte e Nordeste;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Stercorarius chilensis;Mandrião-chileno;Stercorariidae;LC;NA;Sul e Sudeste;Costeiro, Oceânico;Migrante austral;Colisão, perda de habitat / -
Stercorarius maccormicki;Mandrião-do-sul;Stercorariidae;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante austral, transequatorial;Colisão, perda de habitat / -
Stercorarius antarcticus;Mandrião-antártico;Stercorariidae;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante austral;Colisão, perda de habitat / -
Stercorarius pomarinus;Mandrião-pomarino;Stercorariidae;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Stercorarius parasiticus;Mandrião-parasítico;Stercorariidae;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Stercorarius longicaudus;Mandrião-de-cauda-comprida;Stercorariidae;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Chroicocephalus maculipennis;Gaivota-maria-velha;Laridae;LC;LC;Sul e sudeste;Costeiro, Interior;Residente;Colisão, perda de habitat / -
Chroicocephalus cirrocephalus;Gaivota-de-cabeça-cinza;Laridae;LC;LC;Toda a costa, Interior;Costeiro, Interior;Residente;Colisão, perda de habitat / -
Leucophaeus atricilla;Gaivota-alegre;Laridae;LC;LC;Norte e Nordeste;Costeiro;Migrante boreal;Colisão, perda de habitat / -
Larus atlanticus;Gaivota-de-rabo-preto;Laridae;NT;NA;Sul;Costeiro;Migrante austral, Vagante(?);Colisão / Baixo
Larus dominicanus;Gaivotão;Laridae;LC;LC;Sul e Sudeste;Costeiro;Residente;Colisão, perda de habitat, Atração / -
Anous stolidus;Trinta-réis-escuro;Laridae;LC;LC;Nordeste e Norte;Oceânico;Residente;Colisão, perda de habitat, Atração / -
